,FREQUENC,GEO,TIME,ISCED11,AGE,SEX,UNIT,ACL00,Value
18,Not in the last 12 months,Netherlands,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,44.0
19,Not in the last 12 months,Austria,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,62.4
20,Not in the last 12 months,Poland,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,71.5
21,Not in the last 12 months,Portugal,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,69.4
22,Not in the last 12 months,Romania,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,82.7
23,Not in the last 12 months,Slovenia,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,66.7
24,Not in the last 12 months,Slovakia,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,59.0
25,Not in the last 12 months,Finland,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,45.3
26,Not in the last 12 months,Sweden,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,48.8
27,Not in the last 12 months,Iceland,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,46.0
28,Not in the last 12 months,Norway,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,44.6
29,Not in the last 12 months,Switzerland,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,46.2
30,Not in the last 12 months,United Kingdom,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,62.6
31,Not in the last 12 months,North Macedonia,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,80.6
32,Not in the last 12 months,Serbia,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,77.3
33,From 1 to 3 times,Belgium,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,12.8
34,From 1 to 3 times,Bulgaria,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,12.2
35,From 1 to 3 times,Czechia,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,24.1
36,From 1 to 3 times,Denmark,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,30.7
37,From 1 to 3 times,Germany,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,19.2
38,From 1 to 3 times,Estonia,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,19.0
39,From 1 to 3 times,Ireland,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,19.1
40,From 1 to 3 times,Greece,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,26.4
41,From 1 to 3 times,Spain,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,12.4
42,From 1 to 3 times,France,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,18.8
43,From 1 to 3 times,Croatia,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,15.2
44,From 1 to 3 times,Italy,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,12.4
45,From 1 to 3 times,Cyprus,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,10.3
46,From 1 to 3 times,Latvia,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,24.6
47,From 1 to 3 times,Lithuania,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,20.8
48,From 1 to 3 times,Luxembourg,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,19.5
49,From 1 to 3 times,Hungary,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,15.9
50,From 1 to 3 times,Malta,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,10.7
51,From 1 to 3 times,Netherlands,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,22.1
52,From 1 to 3 times,Austria,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,20.0
53,From 1 to 3 times,Poland,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,23.0
54,From 1 to 3 times,Portugal,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,15.3
55,From 1 to 3 times,Romania,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,10.8
56,From 1 to 3 times,Slovenia,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,17.0
57,From 1 to 3 times,Slovakia,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,21.4
58,From 1 to 3 times,Finland,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,30.1
59,From 1 to 3 times,Sweden,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,23.2
60,From 1 to 3 times,Iceland,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,18.5
61,From 1 to 3 times,Norway,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,20.4
62,From 1 to 3 times,Switzerland,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,23.1
63,From 1 to 3 times,United Kingdom,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,22.1
64,From 1 to 3 times,North Macedonia,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,13.6
65,From 1 to 3 times,Serbia,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,11.1
66,At least once,Belgium,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,33.9
67,At least once,Bulgaria,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,19.2
68,At least once,Czechia,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,44.5
69,At least once,Denmark,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,43.6
70,At least once,Germany,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,36.0
71,At least once,Estonia,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,30.1
72,At least once,Ireland,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,47.0
73,At least once,Greece,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,31.9
74,At least once,Spain,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,27.6
75,At least once,France,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,30.5
76,At least once,Croatia,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,27.7
77,At least once,Italy,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,21.4
78,At least once,Cyprus,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,22.1
79,At least once,Latvia,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,37.2
80,At least once,Lithuania,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,26.2
81,At least once,Luxembourg,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,41.2
82,At least once,Hungary,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,25.4
83,At least once,Malta,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,23.0
84,At least once,Netherlands,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,56.0
85,At least once,Austria,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,37.6
86,At least once,Poland,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,28.5
87,At least once,Portugal,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,30.6
88,At least once,Romania,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,17.3
89,At least once,Slovenia,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,33.3
90,At least once,Slovakia,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,41.0
91,At least once,Finland,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,54.7
92,At least once,Sweden,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,51.2
93,At least once,Iceland,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,54.0
94,At least once,Norway,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,55.4
95,At least once,Switzerland,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,53.8
96,At least once,United Kingdom,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,37.4
97,At least once,North Macedonia,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,19.4
98,At least once,Serbia,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,22.7
99,At least 4 times,Belgium,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,21.1
100,At least 4 times,Bulgaria,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,7.0
101,At least 4 times,Czechia,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,20.4
102,At least 4 times,Denmark,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,12.9
103,At least 4 times,Germany,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,16.9
104,At least 4 times,Estonia,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,11.1
105,At least 4 times,Ireland,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,27.9
106,At least 4 times,Greece,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,5.6
107,At least 4 times,Spain,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,15.3
108,At least 4 times,France,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,11.7
109,At least 4 times,Croatia,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,12.5
110,At least 4 times,Italy,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,9.0
111,At least 4 times,Cyprus,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,11.9
112,At least 4 times,Latvia,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,12.6
113,At least 4 times,Lithuania,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,5.5
114,At least 4 times,Luxembourg,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,21.7
115,At least 4 times,Hungary,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,9.5
116,At least 4 times,Malta,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,12.3
117,At least 4 times,Netherlands,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,33.8
118,At least 4 times,Austria,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,17.6
119,At least 4 times,Poland,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,5.5
120,At least 4 times,Portugal,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,15.3
121,At least 4 times,Romania,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,6.5
122,At least 4 times,Slovenia,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,16.3
123,At least 4 times,Slovakia,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,19.6
124,At least 4 times,Finland,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,24.7
125,At least 4 times,Sweden,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,28.0
126,At least 4 times,Iceland,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,35.5
127,At least 4 times,Norway,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,35.0
128,At least 4 times,Switzerland,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,30.7
129,At least 4 times,United Kingdom,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,15.2
130,At least 4 times,North Macedonia,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,5.8
131,At least 4 times,Serbia,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,11.7
