,FREQUENC,GEO,TIME,ISCED11,AGE,SEX,UNIT,ACL00,Value
21,Not in the last 12 months,European Union - 27 countries (from 2020),2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 25 to 34 years,Total,Percentage,Sports events,61.6
22,Not in the last 12 months,European Union - 27 countries (from 2020),2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 25 to 64 years,Total,Percentage,Sports events,67.3
23,Not in the last 12 months,European Union - 27 countries (from 2020),2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 35 to 49 years,Total,Percentage,Sports events,64.8
24,Not in the last 12 months,European Union - 27 countries (from 2020),2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 50 to 64 years,Total,Percentage,Sports events,73.1
25,Not in the last 12 months,European Union - 27 countries (from 2020),2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 65 to 74 years,Total,Percentage,Sports events,75.1
26,Not in the last 12 months,European Union - 27 countries (from 2020),2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),75 years or over,Total,Percentage,Sports events,84.8
27,Not in the last 12 months,European Union - 27 countries (from 2020),2015,Tertiary education (levels 5-8),From 16 to 24 years,Total,Percentage,Sports events,49.6
28,Not in the last 12 months,European Union - 27 countries (from 2020),2015,Tertiary education (levels 5-8),From 16 to 29 years,Total,Percentage,Sports events,50.9
29,Not in the last 12 months,European Union - 27 countries (from 2020),2015,Tertiary education (levels 5-8),16 years or over,Total,Percentage,Sports events,60.9
30,Not in the last 12 months,European Union - 27 countries (from 2020),2015,Tertiary education (levels 5-8),From 25 to 34 years,Total,Percentage,Sports events,55.3
31,Not in the last 12 months,European Union - 27 countries (from 2020),2015,Tertiary education (levels 5-8),From 25 to 64 years,Total,Percentage,Sports events,58.6
32,Not in the last 12 months,European Union - 27 countries (from 2020),2015,Tertiary education (levels 5-8),From 35 to 49 years,Total,Percentage,Sports events,56.9
33,Not in the last 12 months,European Union - 27 countries (from 2020),2015,Tertiary education (levels 5-8),From 50 to 64 years,Total,Percentage,Sports events,64.8
34,Not in the last 12 months,European Union - 27 countries (from 2020),2015,Tertiary education (levels 5-8),From 65 to 74 years,Total,Percentage,Sports events,73.8
35,Not in the last 12 months,European Union - 27 countries (from 2020),2015,Tertiary education (levels 5-8),75 years or over,Total,Percentage,Sports events,83.3
36,Not in the last 12 months,European Union - 28 countries (2013-2020),2015,All ISCED 2011 levels ,From 16 to 24 years,Total,Percentage,Sports events,52.7
37,Not in the last 12 months,European Union - 28 countries (2013-2020),2015,All ISCED 2011 levels ,From 16 to 29 years,Total,Percentage,Sports events,55.2
38,Not in the last 12 months,European Union - 28 countries (2013-2020),2015,All ISCED 2011 levels ,16 years or over,Total,Percentage,Sports events,69.5
39,Not in the last 12 months,European Union - 28 countries (2013-2020),2015,All ISCED 2011 levels ,From 25 to 34 years,Total,Percentage,Sports events,61.3
40,Not in the last 12 months,European Union - 28 countries (2013-2020),2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,67.4
41,Not in the last 12 months,European Union - 28 countries (2013-2020),2015,All ISCED 2011 levels ,From 35 to 49 years,Total,Percentage,Sports events,64.9
42,Not in the last 12 months,European Union - 28 countries (2013-2020),2015,All ISCED 2011 levels ,From 50 to 64 years,Total,Percentage,Sports events,73.6
43,Not in the last 12 months,European Union - 28 countries (2013-2020),2015,All ISCED 2011 levels ,From 65 to 74 years,Total,Percentage,Sports events,78.5
44,Not in the last 12 months,European Union - 28 countries (2013-2020),2015,All ISCED 2011 levels ,75 years or over,Total,Percentage,Sports events,89.2
45,Not in the last 12 months,European Union - 28 countries (2013-2020),2015,"Less than primary, primary and lower secondary education (levels 0-2)",From 16 to 24 years,Total,Percentage,Sports events,55.2
46,Not in the last 12 months,European Union - 28 countries (2013-2020),2015,"Less than primary, primary and lower secondary education (levels 0-2)",From 16 to 29 years,Total,Percentage,Sports events,59.1
47,Not in the last 12 months,European Union - 28 countries (2013-2020),2015,"Less than primary, primary and lower secondary education (levels 0-2)",16 years or over,Total,Percentage,Sports events,80.2
48,Not in the last 12 months,European Union - 28 countries (2013-2020),2015,"Less than primary, primary and lower secondary education (levels 0-2)",From 25 to 34 years,Total,Percentage,Sports events,76.0
49,Not in the last 12 months,European Union - 28 countries (2013-2020),2015,"Less than primary, primary and lower secondary education (levels 0-2)",From 25 to 64 years,Total,Percentage,Sports events,80.2
50,Not in the last 12 months,European Union - 28 countries (2013-2020),2015,"Less than primary, primary and lower secondary education (levels 0-2)",From 35 to 49 years,Total,Percentage,Sports events,78.3
51,Not in the last 12 months,European Union - 28 countries (2013-2020),2015,"Less than primary, primary and lower secondary education (levels 0-2)",From 50 to 64 years,Total,Percentage,Sports events,82.8
52,Not in the last 12 months,European Union - 28 countries (2013-2020),2015,"Less than primary, primary and lower secondary education (levels 0-2)",From 65 to 74 years,Total,Percentage,Sports events,84.6
53,Not in the last 12 months,European Union - 28 countries (2013-2020),2015,"Less than primary, primary and lower secondary education (levels 0-2)",75 years or over,Total,Percentage,Sports events,93.2
54,Not in the last 12 months,European Union - 28 countries (2013-2020),2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 16 to 24 years,Total,Percentage,Sports events,51.1
55,Not in the last 12 months,European Union - 28 countries (2013-2020),2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 16 to 29 years,Total,Percentage,Sports events,54.5
56,Not in the last 12 months,European Union - 28 countries (2013-2020),2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),16 years or over,Total,Percentage,Sports events,67.0
57,Not in the last 12 months,European Union - 28 countries (2013-2020),2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 25 to 34 years,Total,Percentage,Sports events,61.6
58,Not in the last 12 months,European Union - 28 countries (2013-2020),2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 25 to 64 years,Total,Percentage,Sports events,67.1
59,Not in the last 12 months,European Union - 28 countries (2013-2020),2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 35 to 49 years,Total,Percentage,Sports events,64.7
60,Not in the last 12 months,European Union - 28 countries (2013-2020),2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 50 to 64 years,Total,Percentage,Sports events,72.5
61,Not in the last 12 months,European Union - 28 countries (2013-2020),2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 65 to 74 years,Total,Percentage,Sports events,74.5
62,Not in the last 12 months,European Union - 28 countries (2013-2020),2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),75 years or over,Total,Percentage,Sports events,84.4
63,Not in the last 12 months,European Union - 28 countries (2013-2020),2015,Tertiary education (levels 5-8),From 16 to 24 years,Total,Percentage,Sports events,50.3
64,Not in the last 12 months,European Union - 28 countries (2013-2020),2015,Tertiary education (levels 5-8),From 16 to 29 years,Total,Percentage,Sports events,51.2
65,Not in the last 12 months,European Union - 28 countries (2013-2020),2015,Tertiary education (levels 5-8),16 years or over,Total,Percentage,Sports events,60.4
66,Not in the last 12 months,European Union - 28 countries (2013-2020),2015,Tertiary education (levels 5-8),From 25 to 34 years,Total,Percentage,Sports events,55.2
67,Not in the last 12 months,European Union - 28 countries (2013-2020),2015,Tertiary education (levels 5-8),From 25 to 64 years,Total,Percentage,Sports events,58.1
68,Not in the last 12 months,European Union - 28 countries (2013-2020),2015,Tertiary education (levels 5-8),From 35 to 49 years,Total,Percentage,Sports events,56.6
69,Not in the last 12 months,European Union - 28 countries (2013-2020),2015,Tertiary education (levels 5-8),From 50 to 64 years,Total,Percentage,Sports events,63.6
70,Not in the last 12 months,European Union - 28 countries (2013-2020),2015,Tertiary education (levels 5-8),From 65 to 74 years,Total,Percentage,Sports events,71.9
71,Not in the last 12 months,European Union - 28 countries (2013-2020),2015,Tertiary education (levels 5-8),75 years or over,Total,Percentage,Sports events,81.4
72,Not in the last 12 months,Belgium,2015,All ISCED 2011 levels ,From 16 to 24 years,Total,Percentage,Sports events,57.4
73,Not in the last 12 months,Belgium,2015,All ISCED 2011 levels ,From 16 to 29 years,Total,Percentage,Sports events,58.5
74,Not in the last 12 months,Belgium,2015,All ISCED 2011 levels ,16 years or over,Total,Percentage,Sports events,68.6
75,Not in the last 12 months,Belgium,2015,All ISCED 2011 levels ,From 25 to 34 years,Total,Percentage,Sports events,64.5
76,Not in the last 12 months,Belgium,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,66.1
77,Not in the last 12 months,Belgium,2015,All ISCED 2011 levels ,From 35 to 49 years,Total,Percentage,Sports events,62.2
78,Not in the last 12 months,Belgium,2015,All ISCED 2011 levels ,From 50 to 64 years,Total,Percentage,Sports events,71.2
79,Not in the last 12 months,Belgium,2015,All ISCED 2011 levels ,From 65 to 74 years,Total,Percentage,Sports events,78.1
80,Not in the last 12 months,Belgium,2015,All ISCED 2011 levels ,75 years or over,Total,Percentage,Sports events,89.1
81,Not in the last 12 months,Belgium,2015,"Less than primary, primary and lower secondary education (levels 0-2)",From 16 to 24 years,Total,Percentage,Sports events,65.7
82,Not in the last 12 months,Belgium,2015,"Less than primary, primary and lower secondary education (levels 0-2)",From 16 to 29 years,Total,Percentage,Sports events,67.6
83,Not in the last 12 months,Belgium,2015,"Less than primary, primary and lower secondary education (levels 0-2)",16 years or over,Total,Percentage,Sports events,79.0
84,Not in the last 12 months,Belgium,2015,"Less than primary, primary and lower secondary education (levels 0-2)",From 25 to 34 years,Total,Percentage,Sports events,78.9
85,Not in the last 12 months,Belgium,2015,"Less than primary, primary and lower secondary education (levels 0-2)",From 25 to 64 years,Total,Percentage,Sports events,78.2
86,Not in the last 12 months,Belgium,2015,"Less than primary, primary and lower secondary education (levels 0-2)",From 35 to 49 years,Total,Percentage,Sports events,76.0
87,Not in the last 12 months,Belgium,2015,"Less than primary, primary and lower secondary education (levels 0-2)",From 50 to 64 years,Total,Percentage,Sports events,79.3
88,Not in the last 12 months,Belgium,2015,"Less than primary, primary and lower secondary education (levels 0-2)",From 65 to 74 years,Total,Percentage,Sports events,81.4
89,Not in the last 12 months,Belgium,2015,"Less than primary, primary and lower secondary education (levels 0-2)",75 years or over,Total,Percentage,Sports events,90.1
90,Not in the last 12 months,Belgium,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 16 to 24 years,Total,Percentage,Sports events,55.1
91,Not in the last 12 months,Belgium,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 16 to 29 years,Total,Percentage,Sports events,57.9
92,Not in the last 12 months,Belgium,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),16 years or over,Total,Percentage,Sports events,67.6
93,Not in the last 12 months,Belgium,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 25 to 34 years,Total,Percentage,Sports events,68.3
94,Not in the last 12 months,Belgium,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 25 to 64 years,Total,Percentage,Sports events,67.2
95,Not in the last 12 months,Belgium,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 35 to 49 years,Total,Percentage,Sports events,63.4
96,Not in the last 12 months,Belgium,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 50 to 64 years,Total,Percentage,Sports events,70.7
97,Not in the last 12 months,Belgium,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 65 to 74 years,Total,Percentage,Sports events,78.4
98,Not in the last 12 months,Belgium,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),75 years or over,Total,Percentage,Sports events,87.8
99,Not in the last 12 months,Belgium,2015,Tertiary education (levels 5-8),From 16 to 24 years,Total,Percentage,Sports events,46.8
100,Not in the last 12 months,Belgium,2015,Tertiary education (levels 5-8),From 16 to 29 years,Total,Percentage,Sports events,50.9
101,Not in the last 12 months,Belgium,2015,Tertiary education (levels 5-8),16 years or over,Total,Percentage,Sports events,61.4
102,Not in the last 12 months,Belgium,2015,Tertiary education (levels 5-8),From 25 to 34 years,Total,Percentage,Sports events,58.7
103,Not in the last 12 months,Belgium,2015,Tertiary education (levels 5-8),From 25 to 64 years,Total,Percentage,Sports events,59.6
104,Not in the last 12 months,Belgium,2015,Tertiary education (levels 5-8),From 35 to 49 years,Total,Percentage,Sports events,56.1
105,Not in the last 12 months,Belgium,2015,Tertiary education (levels 5-8),From 50 to 64 years,Total,Percentage,Sports events,65.0
106,Not in the last 12 months,Belgium,2015,Tertiary education (levels 5-8),From 65 to 74 years,Total,Percentage,Sports events,72.7
107,Not in the last 12 months,Belgium,2015,Tertiary education (levels 5-8),75 years or over,Total,Percentage,Sports events,88.0
108,Not in the last 12 months,Bulgaria,2015,All ISCED 2011 levels ,From 16 to 24 years,Total,Percentage,Sports events,60.9
109,Not in the last 12 months,Bulgaria,2015,All ISCED 2011 levels ,From 16 to 29 years,Total,Percentage,Sports events,64.6
110,Not in the last 12 months,Bulgaria,2015,All ISCED 2011 levels ,16 years or over,Total,Percentage,Sports events,82.5
111,Not in the last 12 months,Bulgaria,2015,All ISCED 2011 levels ,From 25 to 34 years,Total,Percentage,Sports events,69.5
112,Not in the last 12 months,Bulgaria,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,80.8
113,Not in the last 12 months,Bulgaria,2015,All ISCED 2011 levels ,From 35 to 49 years,Total,Percentage,Sports events,80.1
114,Not in the last 12 months,Bulgaria,2015,All ISCED 2011 levels ,From 50 to 64 years,Total,Percentage,Sports events,88.7
115,Not in the last 12 months,Bulgaria,2015,All ISCED 2011 levels ,From 65 to 74 years,Total,Percentage,Sports events,95.3
116,Not in the last 12 months,Bulgaria,2015,All ISCED 2011 levels ,75 years or over,Total,Percentage,Sports events,98.7
117,Not in the last 12 months,Bulgaria,2015,"Less than primary, primary and lower secondary education (levels 0-2)",From 16 to 24 years,Total,Percentage,Sports events,67.7
118,Not in the last 12 months,Bulgaria,2015,"Less than primary, primary and lower secondary education (levels 0-2)",From 16 to 29 years,Total,Percentage,Sports events,75.7
119,Not in the last 12 months,Bulgaria,2015,"Less than primary, primary and lower secondary education (levels 0-2)",16 years or over,Total,Percentage,Sports events,91.7
120,Not in the last 12 months,Bulgaria,2015,"Less than primary, primary and lower secondary education (levels 0-2)",From 25 to 34 years,Total,Percentage,Sports events,93.5
121,Not in the last 12 months,Bulgaria,2015,"Less than primary, primary and lower secondary education (levels 0-2)",From 25 to 64 years,Total,Percentage,Sports events,94.8
122,Not in the last 12 months,Bulgaria,2015,"Less than primary, primary and lower secondary education (levels 0-2)",From 35 to 49 years,Total,Percentage,Sports events,93.2
123,Not in the last 12 months,Bulgaria,2015,"Less than primary, primary and lower secondary education (levels 0-2)",From 50 to 64 years,Total,Percentage,Sports events,97.1
124,Not in the last 12 months,Bulgaria,2015,"Less than primary, primary and lower secondary education (levels 0-2)",From 65 to 74 years,Total,Percentage,Sports events,96.9
125,Not in the last 12 months,Bulgaria,2015,"Less than primary, primary and lower secondary education (levels 0-2)",75 years or over,Total,Percentage,Sports events,99.5
126,Not in the last 12 months,Bulgaria,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 16 to 24 years,Total,Percentage,Sports events,57.3
127,Not in the last 12 months,Bulgaria,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 16 to 29 years,Total,Percentage,Sports events,61.4
128,Not in the last 12 months,Bulgaria,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),16 years or over,Total,Percentage,Sports events,82.1
129,Not in the last 12 months,Bulgaria,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 25 to 34 years,Total,Percentage,Sports events,68.7
130,Not in the last 12 months,Bulgaria,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 25 to 64 years,Total,Percentage,Sports events,81.9
131,Not in the last 12 months,Bulgaria,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 35 to 49 years,Total,Percentage,Sports events,80.3
132,Not in the last 12 months,Bulgaria,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 50 to 64 years,Total,Percentage,Sports events,90.9
133,Not in the last 12 months,Bulgaria,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 65 to 74 years,Total,Percentage,Sports events,95.7
134,Not in the last 12 months,Bulgaria,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),75 years or over,Total,Percentage,Sports events,98.0
135,Not in the last 12 months,Bulgaria,2015,Tertiary education (levels 5-8),From 16 to 24 years,Total,Percentage,Sports events,42.4
136,Not in the last 12 months,Bulgaria,2015,Tertiary education (levels 5-8),From 16 to 29 years,Total,Percentage,Sports events,50.1
137,Not in the last 12 months,Bulgaria,2015,Tertiary education (levels 5-8),16 years or over,Total,Percentage,Sports events,70.4
138,Not in the last 12 months,Bulgaria,2015,Tertiary education (levels 5-8),From 25 to 34 years,Total,Percentage,Sports events,51.5
139,Not in the last 12 months,Bulgaria,2015,Tertiary education (levels 5-8),From 25 to 64 years,Total,Percentage,Sports events,66.5
140,Not in the last 12 months,Bulgaria,2015,Tertiary education (levels 5-8),From 35 to 49 years,Total,Percentage,Sports events,69.7
141,Not in the last 12 months,Bulgaria,2015,Tertiary education (levels 5-8),From 50 to 64 years,Total,Percentage,Sports events,75.3
142,Not in the last 12 months,Bulgaria,2015,Tertiary education (levels 5-8),From 65 to 74 years,Total,Percentage,Sports events,90.5
143,Not in the last 12 months,Bulgaria,2015,Tertiary education (levels 5-8),75 years or over,Total,Percentage,Sports events,97.5
144,Not in the last 12 months,Czechia,2015,All ISCED 2011 levels ,From 16 to 24 years,Total,Percentage,Sports events,34.6
145,Not in the last 12 months,Czechia,2015,All ISCED 2011 levels ,From 16 to 29 years,Total,Percentage,Sports events,38.5
146,Not in the last 12 months,Czechia,2015,All ISCED 2011 levels ,16 years or over,Total,Percentage,Sports events,58.7
147,Not in the last 12 months,Czechia,2015,All ISCED 2011 levels ,From 25 to 34 years,Total,Percentage,Sports events,47.5
148,Not in the last 12 months,Czechia,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,55.5
149,Not in the last 12 months,Czechia,2015,All ISCED 2011 levels ,From 35 to 49 years,Total,Percentage,Sports events,51.9
150,Not in the last 12 months,Czechia,2015,All ISCED 2011 levels ,From 50 to 64 years,Total,Percentage,Sports events,65.1
151,Not in the last 12 months,Czechia,2015,All ISCED 2011 levels ,From 65 to 74 years,Total,Percentage,Sports events,76.5
152,Not in the last 12 months,Czechia,2015,All ISCED 2011 levels ,75 years or over,Total,Percentage,Sports events,90.8
153,Not in the last 12 months,Czechia,2015,"Less than primary, primary and lower secondary education (levels 0-2)",From 16 to 24 years,Total,Percentage,Sports events,35.0
154,Not in the last 12 months,Czechia,2015,"Less than primary, primary and lower secondary education (levels 0-2)",From 16 to 29 years,Total,Percentage,Sports events,38.8
155,Not in the last 12 months,Czechia,2015,"Less than primary, primary and lower secondary education (levels 0-2)",16 years or over,Total,Percentage,Sports events,69.8
156,Not in the last 12 months,Czechia,2015,"Less than primary, primary and lower secondary education (levels 0-2)",From 25 to 34 years,Total,Percentage,Sports events,81.5
157,Not in the last 12 months,Czechia,2015,"Less than primary, primary and lower secondary education (levels 0-2)",From 25 to 64 years,Total,Percentage,Sports events,81.5
158,Not in the last 12 months,Czechia,2015,"Less than primary, primary and lower secondary education (levels 0-2)",From 35 to 49 years,Total,Percentage,Sports events,80.0
159,Not in the last 12 months,Czechia,2015,"Less than primary, primary and lower secondary education (levels 0-2)",From 50 to 64 years,Total,Percentage,Sports events,82.3
160,Not in the last 12 months,Czechia,2015,"Less than primary, primary and lower secondary education (levels 0-2)",From 65 to 74 years,Total,Percentage,Sports events,90.8
161,Not in the last 12 months,Czechia,2015,"Less than primary, primary and lower secondary education (levels 0-2)",75 years or over,Total,Percentage,Sports events,98.5
162,Not in the last 12 months,Czechia,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 16 to 24 years,Total,Percentage,Sports events,35.4
163,Not in the last 12 months,Czechia,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 16 to 29 years,Total,Percentage,Sports events,39.7
164,Not in the last 12 months,Czechia,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),16 years or over,Total,Percentage,Sports events,58.8
165,Not in the last 12 months,Czechia,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 25 to 34 years,Total,Percentage,Sports events,47.5
166,Not in the last 12 months,Czechia,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 25 to 64 years,Total,Percentage,Sports events,55.4
167,Not in the last 12 months,Czechia,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 35 to 49 years,Total,Percentage,Sports events,51.6
168,Not in the last 12 months,Czechia,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 50 to 64 years,Total,Percentage,Sports events,64.2
169,Not in the last 12 months,Czechia,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 65 to 74 years,Total,Percentage,Sports events,75.2
170,Not in the last 12 months,Czechia,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),75 years or over,Total,Percentage,Sports events,88.1
171,Not in the last 12 months,Czechia,2015,Tertiary education (levels 5-8),From 16 to 24 years,Total,Percentage,Sports events,26.6
172,Not in the last 12 months,Czechia,2015,Tertiary education (levels 5-8),From 16 to 29 years,Total,Percentage,Sports events,34.9
173,Not in the last 12 months,Czechia,2015,Tertiary education (levels 5-8),16 years or over,Total,Percentage,Sports events,49.9
174,Not in the last 12 months,Czechia,2015,Tertiary education (levels 5-8),From 25 to 34 years,Total,Percentage,Sports events,41.4
175,Not in the last 12 months,Czechia,2015,Tertiary education (levels 5-8),From 25 to 64 years,Total,Percentage,Sports events,46.7
176,Not in the last 12 months,Czechia,2015,Tertiary education (levels 5-8),From 35 to 49 years,Total,Percentage,Sports events,45.4
177,Not in the last 12 months,Czechia,2015,Tertiary education (levels 5-8),From 50 to 64 years,Total,Percentage,Sports events,57.4
178,Not in the last 12 months,Czechia,2015,Tertiary education (levels 5-8),From 65 to 74 years,Total,Percentage,Sports events,68.3
179,Not in the last 12 months,Czechia,2015,Tertiary education (levels 5-8),75 years or over,Total,Percentage,Sports events,87.8
180,Not in the last 12 months,Denmark,2015,All ISCED 2011 levels ,From 16 to 24 years,Total,Percentage,Sports events,49.0
181,Not in the last 12 months,Denmark,2015,All ISCED 2011 levels ,From 16 to 29 years,Total,Percentage,Sports events,50.8
182,Not in the last 12 months,Denmark,2015,All ISCED 2011 levels ,16 years or over,Total,Percentage,Sports events,58.8
183,Not in the last 12 months,Denmark,2015,All ISCED 2011 levels ,From 25 to 34 years,Total,Percentage,Sports events,56.3
184,Not in the last 12 months,Denmark,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,56.4
185,Not in the last 12 months,Denmark,2015,All ISCED 2011 levels ,From 35 to 49 years,Total,Percentage,Sports events,48.8
186,Not in the last 12 months,Denmark,2015,All ISCED 2011 levels ,From 50 to 64 years,Total,Percentage,Sports events,64.6
187,Not in the last 12 months,Denmark,2015,All ISCED 2011 levels ,From 65 to 74 years,Total,Percentage,Sports events,67.8
188,Not in the last 12 months,Denmark,2015,All ISCED 2011 levels ,75 years or over,Total,Percentage,Sports events,78.2
189,Not in the last 12 months,Denmark,2015,"Less than primary, primary and lower secondary education (levels 0-2)",From 16 to 24 years,Total,Percentage,Sports events,46.9
190,Not in the last 12 months,Denmark,2015,"Less than primary, primary and lower secondary education (levels 0-2)",From 16 to 29 years,Total,Percentage,Sports events,49.1
191,Not in the last 12 months,Denmark,2015,"Less than primary, primary and lower secondary education (levels 0-2)",16 years or over,Total,Percentage,Sports events,61.3
192,Not in the last 12 months,Denmark,2015,"Less than primary, primary and lower secondary education (levels 0-2)",From 25 to 34 years,Total,Percentage,Sports events,62.2
193,Not in the last 12 months,Denmark,2015,"Less than primary, primary and lower secondary education (levels 0-2)",From 25 to 64 years,Total,Percentage,Sports events,64.6
194,Not in the last 12 months,Denmark,2015,"Less than primary, primary and lower secondary education (levels 0-2)",From 35 to 49 years,Total,Percentage,Sports events,61.3
195,Not in the last 12 months,Denmark,2015,"Less than primary, primary and lower secondary education (levels 0-2)",From 50 to 64 years,Total,Percentage,Sports events,67.0
196,Not in the last 12 months,Denmark,2015,"Less than primary, primary and lower secondary education (levels 0-2)",From 65 to 74 years,Total,Percentage,Sports events,68.5
