year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,geoID,pais
2020,4.89,7.53,9.89,12.16,17.6,20.67,24.72,24.94,22.15,16.61,10.74,8.47,GR,Grecia
2016,13.91,15.19,14.87,18.71,20.32,24.42,26.85,26.75,24.97,23.45,18.87,14.81,MT,Malta
2017,10.97,13.89,15.29,17.22,21.22,25.52,27.82,28.77,24.85,21.25,17.27,13.21,MT,Malta
2018,14.27,12.41,15.21,18.37,20.21,24.22,28.0,26.87,26.07,21.79,18.27,14.77,MT,Malta
2019,11.79,12.39,14.74,17.05,18.32,25.85,27.82,28.57,25.89,22.61,17.84,15.89,MT,Malta
2020,14.27,14.27,14.21,17.35,21.45,23.8,26.85,28.27,25.51,21.01,18.75,14.88,MT,Malta
2016,-2.69,3.58,4.41,8.71,14.83,18.17,19.17,18.08,16.1,7.84,3.16,0.94,PL,Polonia
2017,-3.96,0.33,6.51,7.22,13.91,17.59,18.28,19.2,13.62,10.1,4.69,2.23,PL,Polonia
2018,1.03,-2.87,0.88,12.37,17.04,18.18,20.18,20.69,15.69,10.64,4.57,1.66,PL,Polonia
2019,-1.58,2.98,6.19,9.86,12.41,19.45,18.73,20.14,14.36,10.83,6.39,3.18,PL,Polonia
2020,1.83,4.17,5.06,8.94,11.46,17.95,18.4,20.23,15.3,10.86,5.43,2.04,PL,Polonia
2016,-1.6,3.2,3.95,8.48,13.62,17.65,19.15,18.04,16.82,7.97,2.96,0.13,CZ,Rep. Checa
2017,-5.06,1.23,6.78,7.43,14.06,18.44,18.78,19.45,12.89,10.31,3.9,0.79,CZ,Rep. Checa
2018,1.66,-3.14,1.3,12.65,16.33,17.85,20.04,20.94,15.77,10.92,4.64,1.25,CZ,Rep. Checa
2019,-1.74,2.64,6.16,9.91,10.95,19.14,19.31,20.0,14.47,10.53,5.54,2.06,CZ,Rep. Checa
2020,0.68,3.99,4.6,10.06,11.47,16.82,18.39,20.05,15.28,9.78,4.6,1.53,CZ,Rep. Checa
2016,-1.97,1.7,2.31,7.18,10.64,14.97,17.31,16.22,14.42,6.56,2.19,-0.47,AT,Austria
2017,-6.0,0.95,5.46,5.86,12.03,17.0,17.11,17.9,10.57,8.73,2.04,-1.66,AT,Austria
2018,0.62,-4.19,0.71,10.23,13.66,15.74,17.56,18.51,13.95,9.58,4.03,-0.65,AT,Austria
2019,-3.44,1.43,4.34,7.54,8.27,17.01,17.78,17.71,12.98,9.58,3.97,0.74,AT,Austria
2020,-0.46,2.59,2.86,8.55,10.01,14.23,16.58,17.6,13.63,7.75,3.57,0.03,AT,Austria
2016,10.74,14.84,15.41,20.14,21.33,26.77,28.97,29.29,25.84,22.96,16.9,10.57,CY,Chipre
2017,9.52,11.12,14.59,17.58,21.49,25.75,29.53,28.67,27.22,21.63,16.41,14.74,CY,Chipre
2018,12.22,14.56,16.73,19.49,23.09,25.63,28.65,28.7,26.87,22.77,17.62,13.28,CY,Chipre
2019,11.15,12.51,13.68,16.13,22.81,26.31,27.97,28.75,26.41,23.64,18.84,13.69,CY,Chipre
2020,10.96,12.2,14.74,17.28,21.96,24.73,29.1,29.08,28.5,24.72,17.59,14.78,CY,Chipre
2016,-0.03,3.98,4.88,9.97,12.91,17.5,20.02,18.57,16.57,8.65,4.71,1.03,SI,Eslovenia
2017,-4.12,3.18,7.82,8.71,14.39,19.5,19.9,20.49,12.77,10.65,4.44,0.4,SI,Eslovenia
2018,2.62,-0.69,3.07,12.47,16.14,18.22,19.85,20.93,16.2,11.84,6.43,1.05,SI,Eslovenia
2019,-1.46,3.54,6.92,9.95,10.6,19.49,20.31,20.27,15.36,11.78,6.55,2.62,SI,Eslovenia
2020,1.05,4.79,5.24,10.78,12.57,16.64,19.05,20.04,16.02,9.91,5.64,1.89,SI,Eslovenia
2016,-14.61,-4.8,-2.48,2.65,10.86,13.42,17.03,13.93,10.0,2.79,-4.04,-5.32,FI,Finlandia
2017,-7.63,-7.77,-2.88,-0.28,5.67,11.7,14.91,13.79,8.91,2.81,-1.88,-5.45,FI,Finlandia
2018,-8.12,-11.76,-8.09,1.9,11.4,12.81,19.23,15.5,10.36,3.05,0.09,-5.5,FI,Finlandia
2019,-11.43,-6.98,-3.93,3.32,7.84,14.43,14.74,13.87,8.97,1.32,-3.5,-3.4,FI,Finlandia
2020,-4.7,-4.9,-2.38,0.92,6.79,15.94,15.55,14.28,10.25,4.92,0.8,-4.09,FI,Finlandia
2016,-0.81,6.09,7.24,12.8,15.97,20.75,22.15,20.66,18.44,10.0,5.23,-0.55,HU,Hungría
2017,-5.21,3.09,9.42,10.77,16.84,21.76,22.22,23.19,16.17,11.71,5.9,2.33,HU,Hungría
2018,2.73,0.16,3.97,15.7,19.3,20.59,22.04,23.64,18.12,13.64,7.16,1.21,HU,Hungría
2019,-0.78,4.02,8.98,12.88,14.11,22.47,21.82,23.24,17.48,13.08,9.28,3.32,HU,Hungría
2020,-0.32,5.54,7.27,12.15,14.62,19.91,21.41,22.77,18.41,12.32,5.6,3.53,HU,Hungría
2016,5.48,7.51,7.9,12.28,14.74,19.3,22.43,21.85,19.26,13.57,9.69,6.12,IT,Italia
2017,2.42,7.13,9.82,11.22,16.04,21.31,22.72,23.45,17.02,13.97,8.56,4.65,IT,Italia
2018,6.81,4.2,7.42,13.4,16.57,20.0,22.85,23.15,19.68,15.19,10.47,6.05,IT,Italia
2019,3.26,6.59,9.04,11.24,12.9,21.09,23.15,23.11,19.16,15.41,10.23,7.52,IT,Italia
2020,5.94,7.83,8.14,12.19,15.93,18.72,22.12,23.02,19.29,13.13,10.44,6.28,IT,Italia
2016,-6.36,1.03,2.08,7.64,14.69,17.41,18.44,17.43,14.11,5.73,1.24,-0.01,LT,Lituania
2017,-4.26,-2.45,3.54,5.69,12.38,15.69,16.84,17.75,13.43,7.6,3.53,0.82,LT,Lituania
2018,-2.17,-5.62,-1.76,9.87,16.68,17.29,19.92,19.47,15.03,8.61,2.71,-1.21,LT,Lituania
2019,-4.06,0.65,3.18,8.51,12.81,19.22,16.97,18.13,13.22,9.32,4.59,1.95,LT,Lituania
2020,1.58,1.74,3.38,6.86,10.36,18.5,17.41,18.61,14.79,10.37,4.89,0.2,LT,Lituania
2016,10.94,10.34,10.87,13.2,16.36,20.79,23.52,23.87,21.35,17.65,12.14,10.25,PT,Portugal
2017,8.69,11.12,12.49,15.57,18.33,21.96,23.1,23.43,20.57,18.92,12.5,9.31,PT,Portugal
2018,9.57,8.83,10.99,13.66,16.21,19.88,22.18,24.29,22.19,16.82,12.2,10.47,PT,Portugal
2019,8.97,10.78,12.75,13.44,17.67,20.07,23.04,23.17,21.05,17.3,12.27,10.62,PT,Portugal
2020,9.45,12.01,12.44,14.45,18.91,19.77,24.44,23.17,21.05,16.23,13.31,9.82,PT,Portugal
2016,-2.67,4.75,5.95,12.23,14.48,20.04,21.4,20.51,17.29,8.81,3.89,-2.13,RO,Rumania
2017,-6.22,0.52,7.53,9.28,15.25,20.23,21.09,22.17,16.52,10.48,5.39,2.06,RO,Rumania
2018,0.02,-0.55,2.66,13.94,17.92,19.69,20.78,22.56,16.85,12.47,5.1,-0.57,RO,Rumania
2019,-2.05,1.73,7.01,10.76,14.5,21.43,20.75,22.14,17.09,11.92,9.24,2.34,RO,Rumania
2020,-1.32,3.22,6.37,10.1,13.52,19.17,20.9,21.94,18.28,12.72,4.52,2.99,RO,Rumania
2016,4.54,3.67,5.28,6.5,11.23,13.96,15.33,15.56,14.3,9.73,5.06,5.75,GB,Reino Unido
2017,3.87,4.96,7.12,7.85,12.07,14.5,15.22,14.78,12.47,11.07,5.87,4.29,GB,Reino Unido
2018,4.11,2.12,3.73,8.36,11.93,14.77,16.93,15.36,12.38,9.63,7.07,5.96,GB,Reino Unido
2019,3.75,5.84,6.69,8.46,9.99,13.51,16.29,15.8,13.11,9.24,5.45,5.19,GB,Reino Unido
2020,5.45,4.97,5.58,8.9,11.29,13.98,14.45,15.89,12.96,9.43,7.69,4.42,GB,Reino Unido
2016,-2.55,-3.46,-0.39,0.67,3.9,8.67,9.56,8.98,6.34,4.93,0.43,0.69,IS,Islandia
2017,-1.05,0.68,-0.87,0.36,5.31,7.18,9.74,8.47,7.03,3.89,-2.6,-2.82,IS,Islandia
2018,-2.11,-0.1,-0.61,1.29,3.78,6.9,9.02,8.01,4.79,1.52,0.88,-0.53,IS,Islandia
2019,-1.86,-1.53,-1.83,3.57,3.74,7.35,10.34,8.2,6.2,2.29,-1.34,-1.82,IS,Islandia
2020,-0.95,-2.1,-2.06,1.49,3.87,7.59,8.56,8.65,4.45,2.66,-0.73,-1.39,IS,Islandia
2016,-9.91,-5.58,-2.38,0.67,7.14,10.34,13.01,10.92,9.51,2.46,-3.12,-2.8,NO,Noruega
2017,-5.53,-6.17,-3.17,-0.52,5.02,9.82,12.12,10.89,8.61,3.09,-2.71,-5.25,NO,Noruega
2018,-7.11,-8.86,-7.21,0.92,8.45,9.99,15.21,11.7,8.18,2.35,-0.16,-4.22,NO,Noruega
2019,-8.02,-5.43,-3.85,2.63,4.76,10.45,12.67,12.11,7.38,0.86,-4.15,-3.19,NO,Noruega
2020,-3.75,-4.64,-3.01,0.42,4.31,12.91,11.69,12.09,8.13,3.47,0.74,-2.51,NO,Noruega
